condition,anchor,layer,n_items,n_rows,n_positions,patched_accuracy,mean_margin_improvement,mean_recovery,donor_item_equals_target_rate,same_label_rate
vanilla_to_corrupt,options_end,12,285,285,1.0,0.03508771929824561,0.15745614035087718,0.027203998612982193,1.0,1.0
cross_item_clean_to_corrupt,options_end,14,285,285,1.0,0.10175438596491228,0.2675438596491228,0.05223711336514718,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,14,285,285,1.0,0.0912280701754386,0.17149122807017544,0.029596124788630357,0.0,0.0
same_item_clean_to_corrupt,options_end,14,285,285,1.0,0.042105263157894736,0.24605263157894736,0.04026026757662553,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,14,285,285,1.0,0.11929824561403508,0.3331140350877193,0.05729472693150241,0.0,1.0
vanilla_to_corrupt,options_end,14,285,285,1.0,0.05263157894736842,0.1949561403508772,0.030483237098349023,1.0,1.0
cross_item_clean_to_corrupt,options_end,16,285,285,1.0,0.06666666666666667,0.16403508771929826,0.02975595608419873,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,16,285,285,1.0,0.08070175438596491,0.13114035087719297,0.022826780725786016,0.0,0.0
same_item_clean_to_corrupt,options_end,16,285,285,1.0,0.04912280701754386,0.2918859649122807,0.04748749357186816,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,16,285,285,1.0,0.09473684210526316,0.35482456140350876,0.06987516240311062,0.0,1.0
vanilla_to_corrupt,options_end,16,285,285,1.0,0.03859649122807018,0.20043859649122808,0.029059400944811978,1.0,1.0
